,x,y,num
898,249,59,6159.0
899,263,53,6164.0
900,233,43,6169.0
901,251,66,6174.0
902,259,60,6179.0
903,269,59,6184.0
904,298,66,6189.0
905,316,70,6194.0
906,349,71,6199.0
907,346,67,6204.0
908,393,57,6209.0
909,410,61,6214.0
910,444,59,6219.0
911,474,56,6224.0
912,516,58,6229.0
913,569,52,6234.0
914,571,58,6239.0
915,615,60,6244.0
916,661,61,6249.0
917,706,64,6254.0
918,740,57,6259.0
919,745,54,6264.0
920,756,57,6269.0
921,789,59,6274.0
922,797,58,6279.0
923,827,55,6284.0
924,846,57,6289.0
925,866,52,6294.0
926,880,54,6299.0
927,896,59,6304.0
928,900,61,6309.0
929,901,61,6314.0
930,906,63,6319.0
931,909,60,6324.0
932,907,57,6329.0
933,907,56,6334.0
934,915,53,6339.0
935,914,45,6344.0
936,916,45,6349.0
937,922,44,6354.0
938,931,47,6359.0
939,933,46,6364.0
940,939,46,6369.0
941,957,42,6374.0
942,951,39,6379.0
943,944,39,6384.0
944,957,42,6389.0
945,963,47,6394.0
946,964,38,6399.0
947,960,41,6404.0
948,982,13,6409.0
949,922,38,6414.0
950,917,37,6419.0
951,917,36,6424.0
952,923,44,6429.0
953,933,39,6439.0
954,937,39,6444.0
955,950,43,6449.0
956,942,51,6454.0
957,937,64,6459.0
958,937,71,6464.0
959,940,83,6469.0
960,940,84,6474.0
961,941,89,6479.0
962,941,87,6484.0
963,940,91,6489.0
964,941,90,6494.0
965,937,96,6499.0
966,937,108,6504.0
967,940,103,6509.0
968,938,102,6514.0
969,939,96,6519.0
970,936,97,6524.0
971,932,97,6529.0
972,932,93,6534.0
973,931,95,6539.0
974,931,97,6544.0
975,930,96,6549.0
976,931,95,6554.0
977,933,87,6559.0
978,929,83,6564.0
979,927,83,6569.0
980,916,77,6574.0
981,920,82,6579.0
982,916,83,6584.0
983,907,84,6589.0
984,895,80,6594.0
985,878,75,6599.0
986,873,70,6604.0
987,860,66,6609.0
988,837,68,6614.0
989,830,67,6619.0
990,803,67,6624.0
991,795,63,6629.0
992,792,63,6634.0
993,788,66,6639.0
994,771,56,6644.0
995,774,56,6649.0
996,791,52,6654.0
997,798,45,6659.0
998,798,45,6664.0
999,797,44,6669.0
1000,797,44,6674.0
1001,809,34,6679.0
1002,811,34,6684.0
1003,816,34,6689.0
1004,815,31,6694.0
1005,810,29,6699.0
1006,809,30,6704.0
1007,814,34,6709.0
1008,813,33,6714.0
1009,807,34,6719.0
1010,797,41,6724.0
1011,781,57,6729.0
1012,774,61,6734.0
1013,753,57,6739.0
1014,744,60,6744.0
1015,719,56,6749.0
1016,686,60,6754.0
1017,653,59,6759.0
1018,649,59,6764.0
1019,635,59,6769.0
