,x,y,num
1391,675,949,8738.0
1392,658,952,8743.0
1393,666,953,8748.0
1394,695,954,8753.0
1395,707,958,8758.0
1396,729,957,8763.0
1397,737,959,8768.0
1398,740,961,8773.0
1399,750,961,8778.0
1400,757,965,8783.0
1401,761,961,8788.0
1402,762,961,8793.0
1403,764,959,8798.0
1404,766,967,8803.0
1405,767,968,8808.0
1406,775,969,8813.0
1407,755,968,8818.0
1408,766,968,8823.0
1409,754,968,8828.0
1410,748,972,8833.0
1411,749,972,8838.0
1412,745,971,8843.0
1413,745,971,8848.0
1414,745,971,8853.0
1415,745,971,8858.0
1416,744,969,8863.0
1417,744,969,8868.0
1418,744,970,8873.0
1419,744,970,8878.0
1420,744,970,8883.0
1421,743,972,8888.0
1422,742,972,8893.0
1423,742,972,8898.0
1424,742,972,8903.0
1425,742,971,8908.0
1426,741,971,8913.0
1427,740,973,8918.0
1428,743,975,8923.0
1429,732,969,8928.0
1430,736,968,8933.0
1431,758,960,8938.0
1432,760,963,8943.0
1433,768,961,8948.0
1434,771,959,8953.0
1435,771,959,8958.0
1436,787,958,8963.0
1437,796,956,8968.0
1438,804,954,8973.0
1439,817,949,8978.0
1440,818,950,8983.0
1441,826,950,8988.0
1442,828,950,8993.0
1443,880,957,8998.0
1444,888,956,9003.0
1445,894,949,9008.0
1446,900,948,9013.0
1447,907,939,9018.0
1448,914,938,9023.0
1449,916,936,9028.0
1450,931,933,9033.0
1451,939,931,9038.0
1452,940,931,9043.0
1453,948,924,9048.0
1454,941,926,9053.0
1455,952,937,9058.0
1456,951,937,9063.0
1457,950,943,9068.0
1458,950,943,9073.0
1459,950,943,9078.0
1460,950,943,9083.0
1461,950,943,9088.0
1462,950,943,9093.0
1463,950,943,9098.0
1464,950,943,9103.0
1465,950,943,9108.0
1466,950,943,9113.0
1467,950,943,9118.0
1468,950,943,9123.0
1469,950,943,9128.0
1470,950,943,9133.0
1471,950,943,9138.0
1472,950,943,9143.0
1473,950,943,9148.0
1474,950,943,9153.0
1475,950,943,9158.0
1476,950,943,9163.0
1477,950,943,9168.0
1478,950,943,9173.0
1479,950,943,9178.0
1480,950,943,9183.0
1481,950,943,9188.0
1482,950,943,9193.0
1483,950,943,9198.0
1484,950,943,9203.0
1485,950,943,9208.0
1486,950,943,9213.0
1487,950,943,9218.0
1488,950,943,9223.0
1489,950,943,9228.0
1490,950,943,9233.0
1491,950,943,9238.0
1492,950,943,9243.0
1493,951,942,9248.0
1494,951,942,9253.0
1495,951,942,9258.0
1496,951,942,9263.0
1497,951,942,9268.0
1498,951,942,9273.0
1499,951,943,9278.0
1500,951,942,9283.0
1501,951,942,9288.0
1502,950,943,9293.0
1503,950,943,9298.0
1504,950,943,9303.0
1505,950,943,9308.0
1506,950,943,9313.0
1507,951,943,9318.0
1508,950,943,9323.0
1509,950,943,9328.0
1510,950,943,9333.0
1511,950,943,9338.0
1512,950,943,9343.0
1513,950,943,9348.0
1514,950,943,9353.0
1515,950,943,9358.0
1516,950,943,9363.0
1517,951,943,9368.0
1518,950,943,9373.0
1519,951,942,9378.0
1520,950,943,9383.0
1521,950,943,9388.0
1522,950,943,9393.0
1523,950,943,9398.0
1524,950,943,9403.0
1525,950,943,9408.0
1526,950,943,9413.0
1527,950,943,9418.0
1528,950,943,9423.0
1529,951,942,9428.0
1530,950,943,9433.0
1531,950,949,9438.0
1532,951,943,9443.0
1533,950,943,9448.0
1534,950,943,9453.0
1535,950,943,9458.0
1536,950,943,9463.0
1537,950,943,9468.0
1538,950,943,9473.0
1539,950,943,9478.0
1540,950,943,9483.0
1541,950,943,9488.0
1542,950,943,9493.0
1543,951,943,9498.0
1544,950,943,9503.0
1545,950,943,9508.0
1546,950,943,9513.0
1547,950,943,9518.0
1548,950,943,9523.0
1549,951,942,9528.0
1550,951,937,9533.0
1551,951,942,9538.0
1552,951,937,9543.0
1553,951,938,9548.0
1554,952,937,9553.0
1555,952,942,9558.0
1556,952,942,9563.0
1557,952,942,9568.0
1558,951,944,9573.0
1559,951,950,9578.0
1560,958,951,9583.0
1561,958,956,9588.0
1562,963,958,9593.0
1563,963,958,9598.0
1564,948,969,9603.0
1565,951,967,9608.0
1566,951,967,9613.0
1567,948,968,9618.0
1568,950,967,9623.0
1569,950,967,9628.0
1570,950,966,9633.0
1571,952,963,9638.0
1572,971,955,9643.0
1573,968,947,9648.0
1574,958,949,9653.0
1575,951,937,9658.0
1576,944,929,9663.0
1577,944,927,9668.0
1578,943,922,9673.0
1579,943,922,9678.0
1580,942,922,9683.0
1581,942,921,9688.0
1582,941,918,9693.0
1583,941,925,9698.0
1584,944,931,9703.0
1585,936,929,9708.0
1586,934,934,9713.0
1587,932,927,9718.0
1588,932,922,9723.0
1589,929,923,9728.0
